NORMAN_ID,NAME,SMILES,NEUTRAL_EXACT_MASS,FORMULA,StdInChI,CAS_RN,PUBCHEM_CID,InChIKey,CHEMSPIDER_ID,DTXSID,Preferable Ionization,MB_Records Positive Ionization,Adduct Positive Ionization,Ionisation type and collision energy Positive Ionization,Fragments Positive Ionization,Simplified_fragments_Positive,Institute Positive Ionization,MB_Records Negative Ionization,Adduct Negative Ionization,Ionisation type and collision energy Negative Ionization,Fragments Negative Ionization,Simplified_fragments_Negative,Institute Negative Ionization
stpQQR11,2-Methylimidazole|2-METHYLIMIDAZOLE|2-methyl-1H-imidazole,CC1=NC=CN1,82.0531,C4H6N2,"InChI=1S/C4H6N2/c1-4-5-2-3-6-4/h2-3H,1H3,(H,5,6)",CAS_RN: 616-47-7,12749,LXBGSDVWAMZHDD-UHFFFAOYSA-N,12225,DTXSID4022107,Positive,SM801701,[M+H]+,HCD35,83.0603,,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR12,2-Methylindole|2-METHYLINDOLE|2-methyl-1H-indole,CC1=CC2=CC=CC=C2N1,131.0735,C9H9N,"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3",CAS_RN: 95-20-5,7224,BHNHHSOHWZKFOX-UHFFFAOYSA-N,6954,DTXSID5059117,Positive,SM801802,[M+H]+,HCD35,132.0807:117.0572:105.0698,117.0572;105.0698,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR13,4-Phenoxyphenol,OC1=CC=C(OC2=CC=CC=C2)C=C1,186.0681,C12H10O2,"InChI=1S/C12H10O2/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9,13H",CAS_RN: 831-82-3,13254,ZSBDGXGICLIJGD-UHFFFAOYSA-N,12696,DTXSID2022127,Negative,NA,NA,NA,NA,NA,NA,SM802253,[M-H]-,HCD35,185.0608:184.053:129.0707,185.0608;184.053;129.0707,CASMI_2016
stpQQR14,"5-Methyl-1-(propan-2-yl)-1H-indole-2,3dione|F1707-0083|5-methyl-1-propan-2-ylindole-2,3-dione",CC(C)N1C(=O)C(=O)C2=CC(C)=CC=C12,203.09463,C12H13NO2,"InChI=1S/C12H13NO2/c1-7(2)13-10-5-4-8(3)6-9(10)11(14)12(13)15/h4-7H,1-3H3",CAS_RN: NA,2145522,SYJHSTNDLFUIMT-UHFFFAOYSA-N,1606080,DTXSID00891495,Positive,SM802401,[M+H]+,HCD35,162.0549:204.1019:144.0444,162.0549;144.0444,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR15,9-Acetylanthracene|9-Acetylanthracen|1-anthracen-9-ylethanone,CC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,220.08882,C16H12O,"InChI=1S/C16H12O/c1-11(17)16-14-8-4-2-6-12(14)10-13-7-3-5-9-15(13)16/h2-10H,1H3",CAS_RN: 784-04-3,69911,NXXNVJDXUHMAHU-UHFFFAOYSA-N,63106,DTXSID90229061,Positive,SM802503,[M+H]+,HCD35,221.0961:179.0855:178.0778,179.0855;178.0778,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR16,9-Anthracenecarboxylic acid|Anthracene-9-carboxylic acid,OC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,222.06808,C15H10O2,"InChI=1S/C15H10O2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,(H,16,17)",CAS_RN: 723-62-6,2201,XGWFJBFNAQHLEF-UHFFFAOYSA-N,2116,DTXSID7049427,Negative,NA,NA,NA,NA,NA,NA,SM802652,[M-H]-,HCD35,177.071:221.0608:193.0656,221.0608;193.0656;177.071,CASMI_2016
stpQQR17,"Alizarin|1,2-Dihydroxyanthracene-9,10-dione",OC1=CC=C2C(=O)C3=CC=CC=C3C(=O)C2=C1O,240.04226,C14H8O4,"InChI=1S/C14H8O4/c15-10-6-5-9-11(14(10)18)13(17)8-4-2-1-3-7(8)12(9)16/h1-6,15,18H",CAS_RN: 72-48-0,6293,RGCKGOZRHPZPFP-UHFFFAOYSA-N,6056,DTXSID5045960,Negative,NA,NA,NA,NA,NA,NA,SM802851,[M-H]-,HCD35,239.035:211.04:210.0323,239.035;211.04;210.0323,CASMI_2016
stpQQR18,Anthrone|10H-anthracen-9-one,O=C1C2=CC=CC=C2CC2=CC=CC=C12,194.07316,C14H10O,"InChI=1S/C14H10O/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-8H,9H2",CAS_RN: 90-44-8,7018,RJGDLRCDCYRQOQ-UHFFFAOYSA-N,6751,DTXSID1049431,Positive,SM802903,[M+H]+,HCD35,195.0805:177.0699:69.0699,177.0699;69.0699,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR19,Benzo[a]acridine|Benz[a]acridine,C1=CC=C2C(C=CC3=NC4=CC=CC=C4C=C23)=C1,229.08915,C17H11N,InChI=1S/C17H11N/c1-3-7-14-12(5-1)9-10-17-15(14)11-13-6-2-4-8-16(13)18-17/h1-11H,CAS_RN: 225-11-6,9180,JEGZRTMZYUDVBF-UHFFFAOYSA-N,8825,DTXSID9075371,Positive,SM803002;UA001001|UA001003,[M+H]+;[M+H]+,HCD35;CID35|CID35,230.0963:229.0881;230.0964:202.0777:229.0879|230.0962:231.0995:202.0778,229.088;202.07775,CASMI_2016;UFZ_Additional_Specs,NA,NA,NA,NA,NA,NA
stpQQR20,1-Naphthoic acid methyl ester,COC(=O)C1=CC=CC2=CC=CC=C12,186.06808,C12H10O2,"InChI=1S/C12H10O2/c1-14-12(13)11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3",CAS_RN: 2459-24-7,120056,HMRROBKAACRWBP-UHFFFAOYSA-N,107179,DTXSID00182996,Positive,SM803101,[M+H]+,HCD35,187.0753:144.0569:159.0804,159.0804;144.0569,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR21,3`-Aminoacetophenone|1-(3-aminophenyl)ethanone,CC(=O)C1=CC(N)=CC=C1,135.06841,C8H9NO,"InChI=1S/C8H9NO/c1-6(10)7-3-2-4-8(9)5-7/h2-5H,9H2,1H3",CAS_RN: 99-03-6,7417,CKQHAYFOPRIUOM-UHFFFAOYSA-N,21106518,DTXSID0021830,Positive,SM803501,[M+H]+,HCD35,136.0756:94.0651:91.0542,94.0651;91.0542,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR22,3-Methylpyrazole|5-methyl-1H-pyrazole|3-Methyl-1H-pyrazole,CC1=NNC=C1,82.0531,C4H6N2,"InChI=1S/C4H6N2/c1-4-2-3-5-6-4/h2-3H,1H3,(H,5,6)",CAS_RN: 1453-58-3,15073,XKVUYEYANWFIJX-UHFFFAOYSA-N,14345,DTXSID3073260,Positive,SM804101,[M+H]+,HCD35,83.0603:56.0496:66.0339,66.0339;56.0496,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR23,3-Methylpyridazine|3-methylpyridazine,CC1=CC=CN=N1,94.0531,C5H6N2,"InChI=1S/C5H6N2/c1-5-3-2-4-6-7-5/h2-4H,1H3",CAS_RN: 1632-76-4,74208,MXDRPNGTQDRKQM-UHFFFAOYSA-N,66816,DTXSID80167529,Positive,SM804205,[M+H]+,HCD35,95.0603:68.0495:67.0417,68.0495;67.0417,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR24,3-Pyridinol|3-Hydroxypyridine|pyridin-3-ol,OC1=CC=CN=C1,95.03711,C5H5NO,"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H",CAS_RN: 109-00-2,7971,GRFNBEZIAWKNCO-UHFFFAOYSA-N,7683,DTXSID1051563,Positive,SM804503,[M+H]+,HCD35,96.0444:68.0495:67.0417,68.0495;67.0417,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR25,"4,4`-Thiodiphenol|4-(4-hydroxyphenyl)sulfanylphenol",OC1=CC=C(SC2=CC=C(O)C=C2)C=C1,218.04015,C12H10O2S,"InChI=1S/C12H10O2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8,13-14H",CAS_RN: 2664-63-3,17570,VWGKEVWFBOUAND-UHFFFAOYSA-N,16612,DTXSID9047960,Negative,NA,NA,NA,NA,NA,NA,SM804853,[M-H]-,HCD35,123.9983:217.0329,217.0329;123.9983,CASMI_2016
stpQQR26,"4,7-Phenanthroline|4,7-phenanthrolin",C1=CN=C2C=CC3=NC=CC=C3C2=C1,180.06875,C12H8N2,InChI=1S/C12H8N2/c1-3-9-10-4-2-8-14-12(10)6-5-11(9)13-7-1/h1-8H,CAS_RN: 230-07-9,67472,DATYUTWESAKQQM-UHFFFAOYSA-N,60796,DTXSID30177552,Positive,SM804901,[M+H]+,HCD35,181.0759:111.0231:121.0075,121.0075;111.0231,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR27,4-Acetamidophenol|Acetaminophen|N-(4-hydroxyphenyl)acetamide,CC(=O)NC1=CC=C(O)C=C1,151.06333,C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",CAS_RN: 103-90-2,1983,RZVAJINKPMORJF-UHFFFAOYSA-N,1906,DTXSID2020006,Positive/Negative,AU112601;SM805001;SM866701;EA024301|EA024302|EA024303|EA024304|EA024305|EA024306|EA024307|EA024308|EA024309|EA024310|EA024311|EA024312|EA024313|EA024314;UF409101|UF409102|UF409103|UF409104,[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+,CID16.3-24.4;HCD35;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35;HCD55|HCD80|CID35|CID55,152.0716:110.0622:65.0389;152.0706:110.06:93.0335;152.0705:110.06:93.0335;152.0707:110.0601:134.0601|152.0708:110.06|152.0707:110.0601:134.0603|152.0707:110.0601:134.0602|110.0601:152.0706:92.0495|110.0601:65.0386:93.0335|110.0601:65.0386:93.0335|152.0707:110.06|152.0706:110.0601:65.0384|152.0706:110.0601:134.06|110.0601:152.0706:65.0386|110.0601:65.0386:93.0335|110.06:65.0386:92.0495|152.0706:110.06:134.06;110.06:152.0707:92.0495|110.06:92.0495:93.0336|110.0601:134.0602:152.0709|110.06:134.0602:111.0443,134.0602;111.0443;110.0601;93.0335;92.0495;65.0386,Athens_Univ;CASMI_2016;CASMI_2016;Eawag;UFZ,EA024351|EA024352|EA024353|EA024354|EA024355|EA024356|EA024357|EA024358|EA024359|EA024360|EA024361|EA024362|EA024364,[M-H]-,CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|CID35,150.0562:107.0376|150.056|150.0563|150.0561:107.0375|107.0377:150.0561|107.0376|107.0375|150.0561|150.056|150.0559:107.0374|107.0375:150.056|107.0374|150.056:107.0375,150.05605;107.0375,Eawag
stpQQR28,4`-Aminoacetanilide,CC(=O)NC1=CC=C(N)C=C1,150.07931,C8H10N2O,"InChI=1S/C8H10N2O/c1-6(11)10-8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",CAS_RN: 122-80-5,31230,CHMBIJAOCISYEW-UHFFFAOYSA-N,10297844,DTXSID7024455,Positive,SM805302;UF413501|UF413502|UF413503|UF413504,[M+H]+;[M+H]+,HCD35;HCD55|HCD80|CID35|CID55,151.0865:109.0759:92.0494;109.0764:151.0872:92.0499|109.0764:92.0498:108.0686|109.0763:151.0871:133.0765|109.0764:110.0603:133.0765,133.0765;110.0603;109.0764;108.0686;92.0498,CASMI_2016;UFZ,NA,NA,NA,NA,NA,NA
stpQQR29,4-Fluoraniline,NC1=CC=C(F)C=C1,111.04843,C6H6FN,"InChI=1S/C6H6FN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",CAS_RN: 371-40-4,9731,KRZCOLNOCZKSDF-UHFFFAOYSA-N,9349,DTXSID9022027,Positive,SM805401,[M+H]+,HCD35,112.0556:92.0494:123.0353,92.0494,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR30,4-Iodphenol,OC1=CC=C(I)C=C1,219.93851,C6H5IO,"InChI=1S/C6H5IO/c7-5-1-3-6(8)4-2-5/h1-4,8H",CAS_RN: 540-38-5,10894,VSMDINRNYYEDRN-UHFFFAOYSA-N,10432,DTXSID4052186,Negative,NA,NA,NA,NA,NA,NA,SM805752,[M-H]-,HCD35,126.9047:218.9313,218.9313;126.9047,CASMI_2016
stpQQR31,4-Methoxy-1-Naphthaldehyde|4-methoxynaphthalene-1-carbaldehyde,COC1=CC=C(C=O)C2=CC=CC=C12,186.06808,C12H10O2,"InChI=1S/C12H10O2/c1-14-12-7-6-9(8-13)10-4-2-3-5-11(10)12/h2-8H,1H3",CAS_RN: 15971-29-6,85217,MVXMNHYVCLMLDD-UHFFFAOYSA-N,76852,DTXSID60166717,Positive,SM805801,[M+H]+,HCD35,187.0753:144.0569:159.0804,159.0804;144.0569,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR32,Aniline|Anilin,NC1=CC=CC=C1,93.05785,C6H7N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",CAS_RN: 62-53-3,6115,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,5889,DTXSID8020090,Positive,SM806006,[M+H]+,HCD35,94.0651:53.0388:105.0447,53.0388,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR33,"2,3,5-Trichlorphenol",OC1=C(Cl)C(Cl)=CC(Cl)=C1,195.92495,C6H3Cl3O,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(9)5(10)2-3/h1-2,10H",CAS_RN: 933-78-8,13619,WWGQHTJIFOQAOC-UHFFFAOYSA-N,13030,DTXSID0026208,Negative,NA,NA,NA,NA,NA,NA,SM806451,[M-H]-,HCD35,194.9176:158.941,194.9176;158.941,CASMI_2016
stpQQR34,"2,4,6-Trimethylpyridine|2,4,6-trimethylpyridin",CC1=CC(C)=NC(C)=C1,121.08915,C8H11N,"InChI=1S/C8H11N/c1-6-4-7(2)9-8(3)5-6/h4-5H,1-3H3",CAS_RN: 108-75-8,7953,BWZVCCNYKMEVEX-UHFFFAOYSA-N,21106174,DTXSID1051561,Positive,SM806602,[M+H]+,HCD35,122.0964:79.0542:81.0699,81.0699;79.0542,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR35,"2,4-Dichloro-6-Methylphenol",CC1=CC(Cl)=CC(Cl)=C1O,175.97957,C7H6Cl2O,"InChI=1S/C7H6Cl2O/c1-4-2-5(8)3-6(9)7(4)10/h2-3,10H,1H3",CAS_RN: 1570-65-6,15292,WJQZZLQMLJPKQH-UHFFFAOYSA-N,14557,DTXSID5061790,Negative,NA,NA,NA,NA,NA,NA,SM806853,[M-H]-,HCD35,174.9723:118.9656:132.9817,174.9723;132.9817;118.9656,CASMI_2016
stpQQR36,"2,4-Dinitrophenol",OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,184.01202,C6H4N2O5,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",CAS_RN: 51-28-5,1493,UFBJCMHMOXMLKC-UHFFFAOYSA-N,1448,DTXSID0020523,Negative,NA,NA,NA,NA,NA,NA,SM882351,[M-H]-,HCD35,183.0048:153.0068:123.0083,183.0048;153.0068;123.0083,CASMI_2016
stpQQR37,"2,6-Dimethylpyridine|2,6-dimethylpyridine",CC1=CC=CC(C)=N1,107.0735,C7H9N,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",CAS_RN: 108-48-5,7937,OISVCGZHLKNMSJ-UHFFFAOYSA-N,13842613,DTXSID7051557,Positive,SM807301,[M+H]+,HCD35,108.0807:91.0542:67.0543,91.0542;67.0543,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR38,Benzamide,NC(=O)C1=CC=CC=C1,121.05276,C7H7NO,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",CAS_RN: 55-21-0,2331,KXDAEFPNCMNJSK-UHFFFAOYSA-N,2241,DTXSID0021709,Positive,SM808001,[M+H]+,HCD35,122.06:105.0335:79.0542,105.0335;79.0542,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR39,Benzanilide|N-phenylbenzamide,O=C(NC1=CC=CC=C1)C1=CC=CC=C1,197.08406,C13H11NO,"InChI=1S/C13H11NO/c15-13(11-7-3-1-4-8-11)14-12-9-5-2-6-10-12/h1-10H,(H,14,15)",CAS_RN: 93-98-1,7168,ZVSKZLHKADLHSD-UHFFFAOYSA-N,6900,DTXSID9059096,Positive,SM808102,[M+H]+,HCD35,105.0334:198.0912:120.0443,120.0443;105.0334,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR40,Benzylamine|phenylmethanamine|phenylmethanamine,NCC1=CC=CC=C1,107.0735,C7H9N,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",CAS_RN: 100-46-9,7504,WGQKYBSKWIADBV-UHFFFAOYSA-N,7223,DTXSID5021839,Positive,SM808401,[M+H]+,HCD35,108.0807:91.0542:67.0543,91.0542;67.0543,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR41,Quinoxaline|Chinoxalin,C1=CC=C2N=CC=NC2=C1,130.0531,C8H6N2,InChI=1S/C8H6N2/c1-2-4-8-7(3-1)9-5-6-10-8/h1-6H,CAS_RN: 91-19-0,7045,XSCHRSMBECNVNS-UHFFFAOYSA-N,21106470,DTXSID6049432,Positive,SM808501,[M+H]+,HCD35,131.0603:104.0494:71.0492,104.0494;71.0492,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR42,Diphenylamine|N-phenylaniline,N(C1=CC=CC=C1)C1=CC=CC=C1,169.08915,C12H11N,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",CAS_RN: 122-39-4,11487,DMBHHRLKUKUOEG-UHFFFAOYSA-N,11003,DTXSID4021975,Positive,SM808601;EQ309201|EQ309202|EQ309203|EQ309204|EQ309205|EQ309206,[M+H]+;[M+H]+,HCD35;HCD15|HCD30|HCD45|HCD60|HCD75|HCD90,170.0963:93.0572:92.0494;170.0965:92.0494:93.0571|170.0965:93.0571:92.0494|170.0964:93.0572:92.0495|170.0964:93.0572:92.0495|93.0572:92.0495:170.0963|93.0572:92.0495:65.0386,93.0572;92.0495;65.0386,CASMI_2016;Eawag,NA,NA,NA,NA,NA,NA
stpQQR43,Diphenylsulfone|Diphenyl sulfone|Benzenesulfonylbenzene,O=S(=O)(C1=CC=CC=C1)C1=CC=CC=C1,218.04015,C12H10O2S,"InChI=1S/C12H10O2S/c13-15(14,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H",CAS_RN: 127-63-9,31386,KZTYYGOKRVBIMI-UHFFFAOYSA-N,29117,DTXSID6041892,Positive,SM808701,[M+H]+,HCD35,219.0475:141.0004:95.0491,141.0004;95.0491,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR44,Diphenylsulfoxide|Diphenyl sulfoxide|Benzenesulfinylbenzene,O=S(C1=CC=CC=C1)C1=CC=CC=C1,202.04524,C12H10OS,InChI=1S/C12H10OS/c13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,CAS_RN: 945-51-7,13679,JJHHIJFTHRNPIK-UHFFFAOYSA-N,13090,DTXSID0022141,Positive,SM808801,[M+H]+,HCD35,203.0524:186.0497:125.0055,186.0497;125.0055,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR45,Flavone|2-phenylchromen-4-one,O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,222.06808,C15H10O2,InChI=1S/C15H10O2/c16-13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-10H,CAS_RN: 525-82-6,10680,VHBFFQKBGNRLFZ-UHFFFAOYSA-N,10230,DTXSID2022048,Positive,SM808902,[M+H]+,HCD35,223.0751:121.0283:178.0775,178.0775;121.0283,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR46,Imidazole|1H-imidazole,N1C=CN=C1,68.03745,C3H4N2,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",CAS_RN: 288-32-4,795,RAXXELZNTBOGNW-UHFFFAOYSA-N,773,DTXSID2029616,Positive,SM809101,[M+H]+,HCD35,69.0448,,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR47,"Oxazol|1,3-oxazole",O1C=CN=C1,69.02146,C3H3NO,InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H,CAS_RN: 288-42-6,9255,ZCQWOFVYLHDMMC-UHFFFAOYSA-N,8898,DTXSID70182983,Positive,SM809305,[M+H]+,HCD35,70.0288,,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR48,"Pentabromphenol|2,3,4,5,6-pentabromophenol",OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,483.59443,C6HBr5O,InChI=1S/C6HBr5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,CAS_RN: 608-71-9,11852,SVHOVVJFOWGYJO-UHFFFAOYSA-N,11359,DTXSID9022079,Negative,NA,NA,NA,NA,NA,NA,SM809453,[M-H]-,HCD35,482.5871:180.9171,482.5871;180.9171,CASMI_2016
stpQQR49,"2,4-diaminobenzenesulfonic acid",C1=CC(=C(C=C1N)N)S(=O)(=O)O,188.0256,C6H8N2O3S,"InChI=1S/C6H8N2O3S/c7-4-1-2-6(5(8)3-4)12(9,10)11/h1-3H,7-8H2,(H,9,10,11)",CAS_RN: 88-63-1,66623,JVMSQRAXNZPDHF-UHFFFAOYSA-N,59990,DTXSID3044465,Negative,NA,NA,NA,NA,NA,NA,SM809756;SM865753,[M-H]-;[M-H]-,HCD35;HCD35,187.0183;187.0183:123.0559:129.0103,187.0183;129.0103;123.0559,CASMI_2016;CASMI_2016
